Agência,Mercadoria,Sentido,Peso,Chegada,Porto
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,16000,28/08/2025 08:18:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ETHANOL,EMB,17600,07/09/2025 14:00:00,Santos
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,DESC,36892,08/09/2025 11:30:00,Santos
TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,OLEO DIESEL,DESC,41933,10/09/2025 12:30:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,4000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,5000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,26000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,5000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,32000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,35000,14/09/2025,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,DESC,17500,14/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,ETHANOL,EMB,2400,14/09/2025 05:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,62000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GASOLINA COMUM,EMB,25000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,30000,15/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,DESC,8160,15/09/2025 06:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,45000,16/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,SODA CAUSTICA,DESC,2635,16/09/2025 01:00:00,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,DESC,15000,17/09/2025,Santos
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,GRAN.LIQUIDO NAO ESPECIF,EMB,23352,17/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,DESC,7200,18/09/2025 07:00:00,Santos
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,DESC,57858,19/09/2025 13:00:00,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,DESC,16321,20/09/2025 07:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,30000,22/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,18000,23/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,DESC,4045,24/09/2025 06:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,TRIGO A GRANEL,DESC,33000,25/08/2025 20:36:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,65000,23/08/2025 18:24:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,65800,28/08/2025 01:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,SOJA A GRANEL,EMB,65000,29/08/2025 00:06:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,EMB,68500,29/08/2025 23:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,70804,02/09/2025 11:20:00,Santos
FERTIMPORT S/A.,SOJA A GRANEL,EMB,66000,07/09/2025 00:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,80000,08/09/2025 09:25:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,68520,09/09/2025 15:00:00,Santos
FERTIMPORT S/A.,MILHO A GRANEL,EMB,71500,09/09/2025 17:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,SOJA A GRANEL,EMB,70759,10/09/2025 08:10:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,70000,10/09/2025 13:48:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,66000,11/09/2025 00:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,65000,11/09/2025 10:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,65000,11/09/2025 16:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,21850,12/09/2025 05:05:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,67500,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,70510,14/09/2025,Santos
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,EMB,63000,14/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,SOJA A GRANEL,EMB,55000,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,67500,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,70450,14/09/2025,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,65000,14/09/2025,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,68500,14/09/2025 08:12:00,Santos
FERTIMPORT S/A.,SOJA A GRANEL,EMB,66000,14/09/2025 13:30:00,Santos
WAYPOINT AGENCIA MARITIMA LTDA,MILHO A GRANEL,EMB,58721,15/09/2025 05:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,EMB,63000,15/09/2025 08:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,69000,15/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,67250,16/09/2025 10:00:00,Santos
WAYPOINT AGENCIA MARITIMA LTDA,PELLETS A GRANEL,EMB,55000,18/09/2025 05:00:00,Santos
FERTIMPORT S/A.,MILHO A GRANEL,EMB,71500,19/09/2025 08:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,30800,27/08/2025 14:30:00,Santos
JBG - AGENCIAMENTOS MARITIMOS E TRANSPORTES LTDA,FERTILIZANTES,DESC,77390,04/09/2025 08:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,EMB,8000,05/09/2025 01:30:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,32500,07/09/2025 23:00:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,23243,09/09/2025 01:36:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,49500,12/09/2025 06:30:00,Santos
ORION OPERACOES PORTUARIAS LTDA,SAL A GRANEL,DESC,50050,14/09/2025 02:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,51867,14/09/2025 13:00:00,Santos
FERTIMPORT S/A.,FERTILIZANTES,DESC,76895,14/09/2025 17:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,42130,16/09/2025 09:00:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,DESC,77600,16/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,DESC,22104,17/09/2025,Santos
GEM SHIPPING LTDA,GRAN.SOLIDO NAO ESPECIF,DESC,30524,17/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,DESC,10000,17/09/2025 13:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,28700,20/09/2025 05:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,55062,22/09/2025 05:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,DESC,49347,23/09/2025 05:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,46140,23/08/2025 06:30:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,EMB,23650,28/08/2025 08:24:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,EMB,53000,31/08/2025 09:00:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,EMB,54500,08/09/2025 17:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,60000,12/09/2025 16:06:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,20000,14/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,EMB,60000,15/09/2025,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,80000,15/09/2025 07:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",ACUCAR A GRANEL,EMB,70914,16/09/2025 05:00:00,Santos
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,ACUCAR A GRANEL,EMB,59995,19/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,EMB,50400,20/09/2025 08:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,75000,21/09/2025 07:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,58890,22/09/2025 07:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,ACUCAR A GRANEL,EMB,75000,24/09/2025 13:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,45975,26/09/2025 07:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,EMB,70000,29/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,PRODUTOS QUIMICOS,DESC,6210,14/09/2025 05:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,DESC,24900,05/09/2025 01:30:00,Santos
